DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2022-03-23,22-181,IND,HOME,SAC,L (-1),0,29:08,.732,.688,3.9,27.5,14.8,9.8,0.0,0.0,25.3,17.7,109,116,9.9,-4.0,Terry Taylor
2022-03-24,22-182,IND,AWAY,MEM,L (-30),0,29:39,.666,.682,10.1,8.5,9.4,0.0,0.0,0.0,0.0,18.3,138,143,13.6,-0.4,Terry Taylor
2022-03-26,22-184,IND,AWAY,TOR,L (-40),0,27:48,.500,.500,12.3,4.9,9.0,5.8,0.0,0.0,33.3,10.3,90,152,1.9,-13.5,Terry Taylor
2022-03-28,22-186,IND,HOME,ATL,L (-9),0,32:59,.698,.643,4.2,4.4,4.3,3.7,3.0,0.0,11.3,11.9,131,139,8.8,-4.8,Terry Taylor
2022-03-30,22-188,IND,HOME,DEN,L (-7),1,35:33,.615,.583,20.4,5.0,15.2,7.8,2.8,2.6,0.0,17.2,151,131,20.0,3.0,Terry Taylor
2022-04-01,22-190,IND,AWAY,BOS,L (-5),1,18:41,.581,.500,0.0,0.0,0.0,7.5,2.7,0.0,12.7,18.9,109,135,4.9,-5.5,Terry Taylor
2022-04-03,22-192,IND,HOME,DET,L (-4),1,32:27,.833,.833,13.1,5.8,9.2,0.0,0.0,0.0,18.2,13.4,133,126,11.7,-2.3,Terry Taylor
2022-04-05,22-194,IND,HOME,PHI,L (-9),1,27:59,.568,.545,10.9,0.0,6.1,14.8,1.7,3.6,8.0,17.9,127,131,11.8,-0.5,Terry Taylor
2022-04-09,22-198,IND,AWAY,PHI,L (-13),0,30:02,.442,.400,13.7,8.4,10.9,9.2,1.6,0.0,15.0,19.2,96,135,6.5,-8.1,Terry Taylor
2022-04-10,22-199,IND,AWAY,BRK,L (-8),0,23:37,.635,.571,23.0,7.5,17.8,5.2,2.0,0.0,0.0,13.4,158,133,12.1,-0.7,Terry Taylor
2022-10-19,23-026,IND,HOME,WAS,L (-7),1,24:02,.515,.417,3.9,4.5,4.2,5.7,3.9,3.3,11.4,14.4,106,108,7.2,1.7,Terry Taylor
2022-10-21,23-028,IND,HOME,SAS,L (-3),1,22:10,.643,.643,9.8,30.9,19.2,10.2,0.0,0.0,0.0,11.7,150,129,8.0,-1.7,Terry Taylor
2022-10-22,23-029,IND,HOME,DET,W (+9),0,20:29,.000,.000,4.2,4.2,4.2,10.4,0.0,4.4,0.0,5.6,66,123,1.0,-9.3,Terry Taylor
2022-10-24,23-031,IND,AWAY,PHI,L (-14),0,15:05,.250,.250,13.8,15.9,14.8,0.0,0.0,8.6,0.0,11.3,84,128,1.5,-8.8,Terry Taylor
2022-10-26,23-033,IND,AWAY,CHI,L (-15),0,6:25,,,0.0,0.0,0.0,0.0,0.0,13.1,,0.0,0,119,0.3,-5.0,Terry Taylor
2022-10-29,23-036,IND,AWAY,BRK,W (+9),0,0:13,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,0.0,-7.6,Terry Taylor
2022-11-07,23-045,IND,HOME,NOP,W (+7),0,5:38,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0,131,-0.7,-15.0,Terry Taylor
2022-11-12,23-050,IND,HOME,TOR,W (+14),0,0:12,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,0.0,-3.8,Terry Taylor
2022-11-19,23-057,IND,HOME,ORL,W (+1),0,5:22,1.042,1.000,21.3,21.8,21.6,0.0,0.0,0.0,41.0,19.3,122,120,2.7,0.5,Terry Taylor
2022-11-21,23-059,IND,HOME,ORL,W (+21),0,4:48,1.000,1.000,0.0,0.0,0.0,30.3,0.0,0.0,0.0,8.4,209,111,2.0,8.8,Terry Taylor
2022-11-23,23-061,IND,HOME,MIN,L (-14),0,1:39,.000,.000,52.9,0.0,36.4,0.0,0.0,0.0,0.0,25.1,58,128,0.0,-22.8,Terry Taylor
2022-11-27,23-065,IND,AWAY,LAC,L (-14),0,6:15,.667,.667,0.0,16.0,7.6,0.0,0.0,0.0,0.0,20.0,122,115,2.6,-1.1,Terry Taylor
2022-11-30,23-068,IND,AWAY,SAC,L (-23),0,9:03,.000,.000,9.0,11.5,10.1,0.0,0.0,0.0,50.0,16.5,17,126,-3.2,-25.5,Terry Taylor
2022-12-02,23-070,IND,AWAY,UTA,L (-20),0,4:11,.000,.000,0.0,33.7,14.0,0.0,0.0,0.0,0.0,18.4,0,127,-1.1,-22.5,Terry Taylor
2022-12-04,23-072,IND,AWAY,POR,L (-16),0,1:57,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,0.0,-9.7,Terry Taylor
2022-12-09,23-077,IND,HOME,WAS,W (+10),0,0:53,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,0.0,-5.3,Terry Taylor
2022-12-26,23-094,IND,AWAY,NOP,L (-20),0,6:36,1.000,1.000,33.1,0.0,16.2,0.0,0.0,0.0,0.0,13.9,208,129,4.8,10.3,Terry Taylor
2022-12-27,23-095,IND,HOME,ATL,W (+15),0,2:38,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,118,-0.7,-21.8,Terry Taylor
2023-01-11,23-110,IND,AWAY,NYK,L (-6),0,3:34,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,130,-2.2,-40.7,Terry Taylor
2023-01-14,23-113,IND,HOME,MEM,L (-18),0,13:24,.900,.900,13.3,17.9,15.2,15.1,0.0,0.0,28.6,18.7,116,124,7.4,5.3,Terry Taylor
2023-01-18,23-117,IND,AWAY,OKC,L (-20),0,16:22,.667,.667,0.0,7.2,3.3,0.0,2.9,0.0,40.0,11.5,72,124,1.2,-9.5,Terry Taylor
2023-01-20,23-119,IND,AWAY,DEN,L (-23),0,16:17,1.000,1.000,21.1,0.0,11.5,0.0,0.0,0.0,33.3,7.3,135,142,4.5,-2.9,Terry Taylor
2023-01-24,23-123,IND,HOME,CHI,W (+6),0,20:22,.463,.455,19.6,5.6,13.1,7.8,0.0,3.7,0.0,23.9,116,115,8.2,-4.1,Terry Taylor
2023-01-25,23-124,IND,AWAY,ORL,L (-6),0,14:31,.500,.500,18.9,0.0,10.0,10.6,0.0,0.0,0.0,20.7,126,140,4.6,-7.4,Terry Taylor
2023-01-27,23-126,IND,HOME,MIL,L (-10),0,0:59,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,137,0.0,-6.3,Terry Taylor
2023-02-05,23-135,IND,HOME,CLE,L (-19),0,4:37,1.000,1.000,0.0,0.0,0.0,35.1,0.0,0.0,0.0,9.1,205,130,2.0,8.5,Terry Taylor
2023-02-10,23-140,IND,HOME,PHO,L (-13),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Terry Taylor
2023-02-24,23-154,CHI,HOME,BRK,W (+44),0,4:12,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,200,98,3.0,9.1,Terry Taylor
2023-03-03,23-161,CHI,HOME,PHO,L (-21),0,1:31,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,151,0.0,-11.1,Terry Taylor
2023-03-31,23-189,CHI,AWAY,CHO,W (+30),0,2:57,1.500,1.500,39.7,0.0,20.9,0.0,0.0,0.0,0.0,15.5,259,105,3.4,30.4,Terry Taylor
2023-04-07,23-196,CHI,AWAY,DAL,W (+3),0,12:00,.820,1.000,18.2,8.2,12.9,0.0,0.0,0.0,0.0,18.1,163,119,7.7,3.9,Terry Taylor
2023-04-09,23-198,CHI,HOME,DET,W (+22),0,15:03,.644,.667,11.6,12.3,11.9,0.0,0.0,6.1,0.0,11.5,144,90,5.6,-1.6,Terry Taylor
