DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2022-10-19,22-121,TOR,HOME,CLE,W (+3),0,15:22,1,4,.250,0,0,,1,2,.500,2,4,6,0,0,1,1,2,3,1.7,+3,Christian Koloko
2022-10-21,22-123,TOR,AWAY,BRK,L (-4),0,19:45,0,2,.000,0,0,,1,2,.500,2,0,2,0,0,1,0,5,1,-0.7,-3,Christian Koloko
2022-10-22,22-124,TOR,AWAY,MIA,L (-3),0,12:18,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,0,1,1.2,-5,Christian Koloko
2022-10-24,22-126,TOR,AWAY,MIA,W (+8),1,17:37,1,2,.500,0,0,,0,0,,0,2,2,2,0,1,0,5,2,1.7,-10,Christian Koloko
2022-10-26,22-128,TOR,HOME,PHI,W (+10),0,11:17,2,2,1.000,0,0,,0,0,,1,3,4,0,1,1,0,4,4,5.1,+4,Christian Koloko
2022-10-28,22-130,TOR,HOME,PHI,L (-22),0,10:02,1,1,1.000,0,0,,1,2,.500,2,0,2,1,2,0,0,1,3,6.0,+3,Christian Koloko
2022-10-31,22-133,TOR,HOME,ATL,W (+30),1,21:27,4,7,.571,0,0,,1,3,.333,2,3,5,0,0,3,2,4,9,5.7,+23,Christian Koloko
2022-11-02,22-135,TOR,AWAY,SAS,W (+43),1,23:11,1,4,.250,0,0,,0,0,,1,5,6,0,0,1,1,2,2,0.7,+30,Christian Koloko
2022-11-04,22-137,TOR,AWAY,DAL,L (-1),1,11:49,1,2,.500,0,1,.000,0,0,,2,0,2,0,0,1,2,4,2,-0.5,-12,Christian Koloko
2022-11-06,22-139,TOR,HOME,CHI,W (+9),1,31:01,4,8,.500,0,1,.000,3,4,.750,2,5,7,2,0,6,1,3,11,12.9,+19,Christian Koloko
2022-11-07,22-140,TOR,AWAY,CHI,L (-14),1,21:03,2,8,.250,0,1,.000,1,2,.500,1,2,3,1,0,1,2,4,5,-1.1,+4,Christian Koloko
2022-11-09,22-142,TOR,HOME,HOU,W (+7),1,14:24,1,4,.250,0,0,,3,3,1.000,1,0,1,0,0,1,0,5,5,2.0,+2,Christian Koloko
2022-11-11,22-144,TOR,AWAY,OKC,L (-19),1,23:58,1,4,.250,0,0,,0,0,,3,1,4,1,1,0,1,3,2,1.5,0,Christian Koloko
2022-11-12,22-145,TOR,AWAY,IND,L (-14),0,5:33,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,+1,Christian Koloko
2022-11-14,22-147,TOR,AWAY,DET,W (+4),0,16:58,2,2,1.000,0,0,,4,4,1.000,2,0,2,1,0,1,1,2,8,8.4,+2,Christian Koloko
2022-11-16,22-149,TOR,HOME,MIA,W (+8),0,13:00,2,2,1.000,0,0,,0,0,,1,0,1,0,0,1,0,3,4,3.6,+4,Christian Koloko
2022-11-19,22-152,TOR,AWAY,ATL,L (-2),0,30:18,2,4,.500,0,1,.000,3,6,.500,7,4,11,1,0,4,0,5,7,11.4,+5,Christian Koloko
2022-11-23,22-156,TOR,HOME,BRK,L (-14),1,17:48,1,3,.333,0,0,,2,4,.500,4,1,5,0,0,1,1,2,4,3.5,-17,Christian Koloko
2022-11-26,22-159,TOR,HOME,DAL,W (+5),0,4:58,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,3,0,-1.2,+2,Christian Koloko
2022-11-28,22-161,TOR,HOME,CLE,W (+12),0,7:09,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,2,2,1.5,+1,Christian Koloko
2022-11-30,22-163,TOR,AWAY,NOP,L (-18),0,17:33,3,3,1.000,0,0,,0,0,,0,2,2,0,0,2,0,1,6,6.7,-8,Christian Koloko
2022-12-02,22-165,TOR,AWAY,BRK,L (-9),1,22:25,2,8,.250,0,2,.000,1,1,1.000,4,5,9,0,1,1,1,0,5,5.2,-8,Christian Koloko
2022-12-03,22-166,TOR,HOME,ORL,W (+13),1,18:03,3,5,.600,0,0,,0,0,,2,3,5,0,0,1,0,3,6,5.5,+28,Christian Koloko
2022-12-05,22-168,TOR,HOME,BOS,L (-6),1,22:06,1,1,1.000,0,0,,3,4,.750,1,2,3,2,0,1,1,3,5,5.5,-7,Christian Koloko
2022-12-07,22-170,TOR,HOME,LAL,W (+13),1,21:38,0,3,.000,0,1,.000,1,2,.500,2,2,4,0,1,4,0,6,1,1.9,+9,Christian Koloko
2022-12-09,22-172,TOR,AWAY,ORL,L (-4),1,12:34,0,1,.000,0,0,,0,0,,0,0,0,1,0,1,0,1,0,0.3,-13,Christian Koloko
2022-12-11,22-174,TOR,AWAY,ORL,L (-12),1,6:35,1,1,1.000,0,0,,0,0,,0,1,1,0,1,2,0,3,2,3.2,-3,Christian Koloko
2022-12-14,22-177,TOR,HOME,SAC,L (-1),0,13:01,2,4,.500,0,0,,0,0,,3,1,4,1,1,1,0,0,4,6.8,+9,Christian Koloko
2022-12-16,22-179,TOR,HOME,BRK,L (-3),1,20:42,1,4,.250,0,0,,2,2,1.000,2,1,3,2,0,0,0,2,4,3.9,+6,Christian Koloko
2022-12-18,22-181,TOR,HOME,GSW,L (-16),1,20:05,1,1,1.000,0,0,,1,2,.500,1,2,3,0,0,1,2,4,3,0.7,-2,Christian Koloko
2022-12-21,22-184,TOR,AWAY,NYK,W (+7),0,5:30,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0,0.3,+7,Christian Koloko
2022-12-27,22-190,TOR,HOME,LAC,L (-11),0,9:19,1,1,1.000,0,0,,2,2,1.000,3,0,3,0,1,0,0,1,4,6.4,+1,Christian Koloko
2022-12-29,22-192,TOR,HOME,MEM,L (-13),1,12:37,2,3,.667,0,0,,0,0,,1,1,2,1,0,2,1,1,4,4.4,-7,Christian Koloko
2022-12-30,22-193,TOR,HOME,PHO,W (+9),1,21:17,3,3,1.000,1,1,1.000,1,2,.500,1,3,4,0,1,0,0,5,8,7.3,+22,Christian Koloko
2023-01-02,22-196,TOR,AWAY,IND,L (-8),0,10:55,1,1,1.000,0,0,,0,0,,2,2,4,0,0,2,0,3,2,3.9,-4,Christian Koloko
