DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2018-10-17,21-091,MIA,AWAY,ORL,L (-3),0,21:59,4,9,.444,0,1,.000,1,2,.500,2,6,8,2,1,0,1,3,9,7.3,-6,Bam Adebayo
2018-10-18,21-092,MIA,AWAY,WAS,W (+1),0,17:07,1,4,.250,0,0,,2,4,.500,3,6,9,0,0,0,3,2,4,0.9,+4,Bam Adebayo
2018-10-20,21-094,MIA,HOME,CHO,L (-1),0,15:28,3,6,.500,0,0,,6,6,1.000,2,4,6,0,0,2,1,3,12,10.8,-6,Bam Adebayo
2018-10-24,21-098,MIA,HOME,NYK,W (+23),0,21:06,1,3,.333,0,1,.000,2,4,.500,1,3,4,3,1,0,1,3,4,4.0,-7,Bam Adebayo
2018-10-27,21-101,MIA,HOME,POR,W (+9),0,13:35,3,6,.500,0,0,,1,1,1.000,4,2,6,0,0,0,2,2,7,4.6,+5,Bam Adebayo
2018-10-29,21-103,MIA,HOME,SAC,L (-10),0,18:59,2,4,.500,0,0,,4,6,.667,1,7,8,0,1,0,2,0,8,7.0,-6,Bam Adebayo
2018-10-30,21-104,MIA,AWAY,CHO,L (-12),0,15:29,4,5,.800,0,0,,0,0,,2,4,6,2,0,0,0,3,8,8.9,0,Bam Adebayo
2018-11-03,21-108,MIA,AWAY,ATL,L (-5),0,30:38,1,2,.500,0,0,,0,0,,3,4,7,2,1,2,2,4,2,4.5,+11,Bam Adebayo
2018-11-05,21-110,MIA,AWAY,DET,W (+5),1,29:01,4,5,.800,0,0,,3,4,.750,3,5,8,1,3,1,0,3,11,15.5,0,Bam Adebayo
2018-11-07,21-112,MIA,HOME,SAS,W (+7),0,12:28,0,1,.000,0,0,,2,2,1.000,1,2,3,1,0,1,0,3,2,2.8,+8,Bam Adebayo
2018-11-09,21-114,MIA,HOME,IND,L (-8),0,7:05,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,1,2,3,1.2,+2,Bam Adebayo
2018-11-10,21-115,MIA,HOME,WAS,L (-6),0,13:20,3,4,.750,0,0,,2,3,.667,2,3,5,0,0,0,0,4,8,6.7,+6,Bam Adebayo
2018-11-12,21-117,MIA,HOME,PHI,L (-10),0,19:21,3,6,.500,0,0,,2,4,.500,1,3,4,2,0,1,2,3,8,4.7,+1,Bam Adebayo
2018-11-14,21-119,MIA,AWAY,BRK,W (+13),0,10:04,6,6,1.000,0,0,,0,0,,0,3,3,1,0,1,0,5,12,10.5,+3,Bam Adebayo
2018-11-16,21-121,MIA,AWAY,IND,L (-8),0,19:12,3,7,.429,0,0,,2,3,.667,0,6,6,3,2,2,1,1,8,9.8,-11,Bam Adebayo
2018-11-18,21-123,MIA,HOME,LAL,L (-16),0,16:40,1,4,.250,0,0,,1,2,.500,2,6,8,3,0,1,2,0,3,4.2,-3,Bam Adebayo
2018-11-20,21-125,MIA,HOME,BRK,L (-12),0,16:12,3,6,.500,0,0,,0,0,,2,6,8,0,1,1,1,2,6,6.1,-2,Bam Adebayo
2018-11-23,21-128,MIA,AWAY,CHI,W (+7),0,26:21,3,8,.375,0,0,,8,10,.800,5,8,13,2,0,1,2,4,14,13.2,+1,Bam Adebayo
2018-11-25,21-130,MIA,AWAY,TOR,L (-10),0,36:29,4,10,.400,0,1,.000,8,12,.667,4,17,21,1,1,2,1,0,16,19.0,+1,Bam Adebayo
2018-11-27,21-132,MIA,HOME,ATL,L (-2),0,13:46,4,4,1.000,0,0,,4,6,.667,3,1,4,1,2,0,3,5,12,10.1,-8,Bam Adebayo
2018-11-30,21-135,MIA,HOME,NOP,W (+5),0,27:50,4,5,.800,0,0,,0,0,,4,7,11,3,0,1,1,2,8,12.0,+13,Bam Adebayo
2018-12-02,21-137,MIA,HOME,UTA,W (+2),0,14:01,1,2,.500,0,0,,0,0,,1,1,2,1,1,1,0,1,2,4.0,+10,Bam Adebayo
2018-12-04,21-139,MIA,HOME,ORL,L (-15),0,23:09,3,7,.429,0,0,,0,0,,3,4,7,1,1,3,2,1,6,7.0,-6,Bam Adebayo
2018-12-07,21-142,MIA,AWAY,PHO,W (+17),1,32:04,6,9,.667,0,0,,10,11,.909,3,7,10,2,1,1,0,1,22,24.6,+20,Bam Adebayo
2018-12-08,21-143,MIA,AWAY,LAC,W (+23),1,29:19,7,10,.700,0,0,,0,0,,2,6,8,4,1,1,0,4,14,15.9,+25,Bam Adebayo
2018-12-10,21-145,MIA,AWAY,LAL,L (-3),1,28:43,6,11,.545,0,0,,0,2,.000,4,6,10,5,2,2,4,2,12,12.6,-10,Bam Adebayo
2018-12-12,21-147,MIA,AWAY,UTA,L (-27),1,27:25,1,5,.200,0,0,,1,2,.500,0,5,5,3,1,2,1,3,3,3.3,-14,Bam Adebayo
2018-12-14,21-149,MIA,AWAY,MEM,W (+3),0,26:01,2,2,1.000,0,0,,0,0,,3,6,9,5,0,2,2,1,4,9.8,+5,Bam Adebayo
2018-12-16,21-151,MIA,AWAY,NOP,W (+6),0,25:20,1,2,.500,1,1,1.000,2,2,1.000,2,6,8,5,0,1,4,5,5,5.4,+1,Bam Adebayo
2018-12-20,21-155,MIA,HOME,HOU,W (+2),0,23:52,1,5,.200,0,0,,1,2,.500,2,7,9,4,0,0,1,3,3,3.6,+3,Bam Adebayo
2018-12-22,21-157,MIA,HOME,MIL,W (+7),0,17:59,2,5,.400,0,0,,0,0,,2,2,4,1,1,0,0,4,4,3.4,-1,Bam Adebayo
2018-12-23,21-158,MIA,AWAY,ORL,W (+24),0,20:11,1,6,.167,0,1,.000,1,2,.500,3,3,6,5,1,0,2,4,3,2.7,-3,Bam Adebayo
2018-12-26,21-161,MIA,HOME,TOR,L (-2),0,17:17,1,3,.333,0,0,,0,0,,0,3,3,0,0,0,0,3,2,0.0,-24,Bam Adebayo
2018-12-28,21-163,MIA,HOME,CLE,W (+24),0,30:09,8,8,1.000,0,0,,2,2,1.000,4,5,9,5,0,0,1,4,18,20.8,+15,Bam Adebayo
2018-12-30,21-165,MIA,HOME,MIN,L (-9),0,17:54,1,3,.333,0,0,,2,2,1.000,2,2,4,0,0,0,2,4,4,0.7,-12,Bam Adebayo
2019-01-02,21-168,MIA,AWAY,CLE,W (+25),0,24:34,4,5,.800,0,1,.000,0,0,,0,5,5,5,1,0,3,3,8,7.9,+15,Bam Adebayo
2019-01-04,21-170,MIA,HOME,WAS,W (+6),0,18:28,4,7,.571,0,0,,3,4,.750,3,4,7,5,1,1,1,3,11,13.6,+1,Bam Adebayo
2019-01-06,21-172,MIA,AWAY,ATL,L (-24),0,26:53,5,9,.556,0,0,,2,2,1.000,4,2,6,2,2,2,1,3,12,13.7,+1,Bam Adebayo
2019-01-08,21-174,MIA,HOME,DEN,L (-4),0,24:09,6,7,.857,0,0,,1,2,.500,1,3,4,1,1,0,0,0,13,13.4,+4,Bam Adebayo
2019-01-10,21-176,MIA,HOME,BOS,W (+16),0,26:41,3,5,.600,0,0,,2,2,1.000,1,6,7,5,2,2,0,1,8,14.7,+9,Bam Adebayo
