DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-11-22,29-091,DAL,HOME,CLE,W (+42),0,8:28,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,+8,Ryan Broekhoff
2019-12-12,29-111,DAL,AWAY,DET,W (+11),0,1:39,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-6,Ryan Broekhoff
2019-12-18,29-117,DAL,HOME,BOS,L (-6),0,0:47,1,1,1.000,1,1,1.000,2,3,.667,0,0,0,0,0,0,0,2,5,3.5,+4,Ryan Broekhoff
2019-12-20,29-119,DAL,AWAY,PHI,W (+19),0,18:18,3,7,.429,2,5,.400,0,0,,0,2,2,0,0,0,0,1,8,4.5,-2,Ryan Broekhoff
2019-12-22,29-121,DAL,AWAY,TOR,L (-3),0,17:47,1,4,.250,1,4,.250,3,3,1.000,0,3,3,1,0,0,0,2,6,4.4,-8,Ryan Broekhoff
2019-12-28,29-127,DAL,AWAY,GSW,W (+20),0,5:11,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,0.6,-5,Ryan Broekhoff
2019-12-29,29-128,DAL,AWAY,LAL,L (-13),0,7:55,2,4,.500,2,4,.500,0,0,,1,1,2,0,0,1,0,1,6,5.3,+5,Ryan Broekhoff
2020-01-28,29-158,DAL,HOME,PHO,L (-29),0,8:05,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,1,0,5,3.0,+7,Ryan Broekhoff
2020-01-31,29-161,DAL,AWAY,HOU,L (-7),1,20:08,3,8,.375,3,7,.429,0,0,,0,5,5,0,0,1,1,2,9,5.0,-4,Ryan Broekhoff
2020-02-01,29-162,DAL,HOME,ATL,W (+23),0,22:32,2,5,.400,2,5,.400,2,2,1.000,1,5,6,1,0,1,1,3,8,6.7,+13,Ryan Broekhoff
2020-02-03,29-164,DAL,AWAY,IND,W (+9),0,19:25,1,7,.143,1,7,.143,0,0,,0,5,5,1,2,0,0,2,3,1.9,-1,Ryan Broekhoff
2020-02-05,29-166,DAL,HOME,MEM,L (-14),0,12:21,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,1,0,1,3,2.6,-17,Ryan Broekhoff
2020-02-07,29-168,DAL,AWAY,WAS,L (-1),0,5:16,0,2,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,0,0,-0.4,-1,Ryan Broekhoff
2020-02-08,29-169,DAL,AWAY,CHO,W (+16),0,15:46,2,6,.333,2,6,.333,0,0,,2,7,9,4,1,0,1,0,6,8.9,+6,Ryan Broekhoff
