DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2015-10-30,22-207,POR,AWAY,PHO,L (-18),0,2:24,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,+1,Luis Montero
2015-11-05,22-213,POR,HOME,MEM,W (+19),0,3:34,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-5,Luis Montero
2015-12-21,22-259,POR,AWAY,ATL,L (-9),0,0:50,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,+2,Luis Montero
2015-12-23,22-261,POR,AWAY,NOP,L (-26),0,6:16,0,3,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,1,2,0.2,-2,Luis Montero
2015-12-26,22-264,POR,HOME,CLE,W (+29),0,4:09,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-0.7,-3,Luis Montero
2015-12-31,22-269,POR,AWAY,UTA,L (-13),0,3:02,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,1.3,+5,Luis Montero
2016-01-06,22-275,POR,HOME,LAC,L (-11),0,2:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,Luis Montero
2016-03-28,22-357,POR,HOME,SAC,W (+12),0,4:41,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-0.5,-15,Luis Montero
2016-04-02,22-362,POR,HOME,MIA,W (+17),0,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,Luis Montero
2016-04-03,22-363,POR,AWAY,GSW,L (-25),0,3:09,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4,Luis Montero
2016-04-06,23-000,POR,HOME,OKC,W (+5),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Luis Montero
2016-04-13,23-007,POR,HOME,DEN,W (+8),0,9:02,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.8,-10,Luis Montero
2017-12-30,24-268,DET,HOME,SAS,W (+14),0,1:28,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-1.7,-4,Luis Montero
2018-01-05,24-274,DET,AWAY,PHI,L (-36),0,6:29,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1,Luis Montero
