DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2022-10-21,25-119,ORL,AWAY,ATL,L (-10),0,0:37,,,0.0,100.0,86.5,0.0,0.0,0.0,,0.0,0,73,0.3,4.7,Kevon Harris
2022-10-22,25-120,ORL,HOME,BOS,L (-6),0,18:45,.307,.250,0.0,17.9,9.0,6.0,2.6,0.0,17.0,13.2,66,127,1.0,-10.9,Kevon Harris
2022-10-26,25-124,ORL,AWAY,CLE,L (-11),0,22:14,.000,.000,0.0,14.4,7.5,0.0,2.3,0.0,40.0,10.2,0,108,-3.4,-14.2,Kevon Harris
2022-10-28,25-126,ORL,HOME,CHO,W (+20),0,5:31,.500,.500,0.0,0.0,0.0,52.3,0.0,0.0,33.3,24.1,90,104,1.4,-2.3,Kevon Harris
2022-10-30,25-128,ORL,AWAY,DAL,L (-9),0,17:04,.968,1.000,6.5,13.7,10.0,9.8,0.0,0.0,24.4,22.0,143,126,8.8,5.7,Kevon Harris
2022-11-01,25-130,ORL,AWAY,OKC,L (-8),0,6:14,.000,.000,0.0,17.1,9.1,0.0,0.0,0.0,0.0,12.9,0,114,-1.5,-20.3,Kevon Harris
2022-11-03,25-132,ORL,HOME,GSW,W (+1),0,20:50,.721,.714,24.9,5.2,14.2,0.0,2.2,0.0,10.7,18.3,145,125,10.6,3.0,Kevon Harris
2022-11-05,25-134,ORL,HOME,SAC,L (-3),0,16:04,.410,.250,8.9,14.0,11.8,0.0,0.0,0.0,0.0,13.7,102,119,2.5,-8.3,Kevon Harris
2022-11-07,25-136,ORL,HOME,HOU,L (-7),0,15:08,.170,.000,17.1,0.0,8.2,7.0,3.1,0.0,14.5,19.0,67,132,-1.0,-19.8,Kevon Harris
2022-11-14,25-143,ORL,HOME,CHO,L (-7),0,11:05,.750,.750,19.2,10.8,15.3,0.0,0.0,0.0,0.0,7.2,188,125,3.3,1.8,Kevon Harris
2022-11-16,25-145,ORL,HOME,MIN,L (-18),0,6:11,1.071,1.000,17.6,0.0,8.9,29.3,0.0,0.0,0.0,28.0,228,132,9.8,34.9,Kevon Harris
2022-11-19,25-148,ORL,AWAY,IND,L (-1),0,3:44,.000,.000,0.0,61.2,31.0,0.0,0.0,0.0,0.0,11.5,0,108,-0.1,-15.6,Kevon Harris
2022-11-21,25-150,ORL,AWAY,IND,L (-21),0,13:52,.250,.250,28.8,18.2,24.2,10.6,3.4,8.7,33.3,18.4,74,114,3.0,-4.6,Kevon Harris
2022-11-28,25-157,ORL,AWAY,BRK,L (-7),0,15:32,.316,.200,7.2,9.1,8.0,0.0,3.2,0.0,24.0,23.9,59,114,-0.3,-16.2,Kevon Harris
2022-11-30,25-159,ORL,HOME,ATL,L (-17),0,13:13,1.014,1.000,8.9,0.0,4.4,0.0,3.7,0.0,31.1,21.7,122,125,6.7,2.2,Kevon Harris
2022-12-02,25-161,ORL,AWAY,CLE,L (-11),0,6:41,.615,.500,0.0,21.1,9.8,0.0,0.0,0.0,0.0,17.0,135,121,2.3,-0.9,Kevon Harris
2022-12-03,25-162,ORL,AWAY,TOR,L (-13),0,20:58,.625,.625,6.4,12.7,9.5,13.7,0.0,0.0,0.0,8.8,143,129,5.3,-0.6,Kevon Harris
2022-12-07,25-166,ORL,HOME,LAC,W (+5),0,9:37,.532,.000,10.6,0.0,5.2,13.8,5.4,0.0,0.0,8.6,154,108,3.3,5.7,Kevon Harris
