DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
1999-11-02,22-129,UTA,HOME,LAL,L (-7),0,4:22,0,2,.000,0,1,.000,3,4,.750,1,1,2,0,0,0,0,0,3,2.2,+3,Quincy Lewis
1999-11-04,22-131,UTA,HOME,HOU,W (+16),0,6:53,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,-4,Quincy Lewis
1999-11-08,22-135,UTA,AWAY,LAC,W (+15),0,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,Quincy Lewis
1999-11-09,22-136,UTA,HOME,POR,W (+5),0,8:59,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,3,2,0.1,+10,Quincy Lewis
1999-11-12,22-139,UTA,AWAY,SAC,L (-13),0,2:50,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+3,Quincy Lewis
1999-11-17,22-144,UTA,HOME,NYK,W (+8),0,5:19,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,2,1,0.5,-4,Quincy Lewis
1999-11-19,22-146,UTA,AWAY,MIN,L (-5),0,2:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-6,Quincy Lewis
1999-11-29,22-156,UTA,HOME,GSW,W (+16),0,14:58,0,3,.000,0,0,,2,2,1.000,0,1,1,2,0,0,2,2,2,-1.2,-10,Quincy Lewis
1999-12-03,22-160,UTA,HOME,IND,L (-25),0,13:05,2,5,.400,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,5,6,2.0,-9,Quincy Lewis
1999-12-06,22-163,UTA,HOME,WAS,W (+6),0,7:05,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,4,2.3,+1,Quincy Lewis
1999-12-08,22-165,UTA,HOME,DAL,W (+6),0,7:21,1,3,.333,0,0,,0,0,,1,0,1,0,1,0,0,0,2,2.0,-8,Quincy Lewis
1999-12-10,22-167,UTA,HOME,SEA,W (+18),0,14:02,2,8,.250,0,0,,0,0,,0,2,2,1,0,0,1,5,4,-2.5,+1,Quincy Lewis
1999-12-12,22-169,UTA,AWAY,TOR,W (+15),0,14:42,1,5,.200,0,0,,0,0,,0,2,2,2,0,0,1,2,2,-0.9,+4,Quincy Lewis
1999-12-14,22-171,UTA,AWAY,WAS,W (+21),0,10:21,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,1,2,2,-0.5,+2,Quincy Lewis
1999-12-15,22-172,UTA,AWAY,BOS,W (+10),0,15:59,3,7,.429,0,0,,1,2,.500,4,1,5,1,2,0,1,4,7,6.1,+6,Quincy Lewis
1999-12-17,22-174,UTA,AWAY,IND,L (-15),0,18:52,2,8,.250,0,0,,0,0,,1,1,2,1,1,2,1,4,4,0.7,-10,Quincy Lewis
1999-12-18,22-175,UTA,AWAY,ATL,W (+10),0,22:41,5,6,.833,0,0,,0,0,,1,5,6,2,2,2,0,4,10,13.2,+5,Quincy Lewis
1999-12-20,22-177,UTA,AWAY,ORL,L (-2),0,16:00,2,6,.333,0,0,,0,0,,2,1,3,0,0,1,2,3,4,-0.2,+1,Quincy Lewis
1999-12-22,22-179,UTA,AWAY,MIA,L (-2),0,15:35,4,5,.800,1,2,.500,0,0,,0,0,0,1,0,0,0,0,9,7.8,0,Quincy Lewis
1999-12-27,22-184,UTA,HOME,PHO,W (+1),0,17:12,3,3,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,2,2,7,5.3,+6,Quincy Lewis
1999-12-29,22-186,UTA,HOME,VAN,W (+11),0,15:57,3,5,.600,0,1,.000,0,0,,0,0,0,1,2,0,2,2,6,3.6,-1,Quincy Lewis
