DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2015-10-28,26-362,LAC,AWAY,SAC,W (+7),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Cole Aldrich
2015-10-29,26-363,LAC,HOME,DAL,W (+16),0,6:54,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4,-8,Cole Aldrich
2015-11-12,27-012,LAC,AWAY,PHO,L (-14),0,6:47,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,0,1,2,2.9,+6,Cole Aldrich
2015-11-24,27-024,LAC,AWAY,DEN,W (+17),0,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1,Cole Aldrich
2015-11-27,27-027,LAC,HOME,NOP,W (+21),0,1:30,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,0,1,-0.1,-2,Cole Aldrich
2015-12-19,27-049,LAC,AWAY,HOU,L (-10),0,6:05,1,1,1.000,0,0,,0,0,,2,4,6,1,0,0,1,0,2,4.0,+8,Cole Aldrich
2015-12-21,27-051,LAC,HOME,OKC,L (-1),0,13:47,2,3,.667,0,0,,1,2,.500,0,4,4,0,3,2,1,0,5,7.9,+6,Cole Aldrich
2015-12-25,27-055,LAC,AWAY,LAL,W (+10),0,11:18,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,1,3,0,-1.9,-13,Cole Aldrich
2015-12-26,27-056,LAC,AWAY,UTA,W (+5),0,13:14,4,6,.667,0,0,,0,2,.000,1,2,3,2,0,1,0,3,8,6.8,-2,Cole Aldrich
2015-12-28,27-058,LAC,AWAY,WAS,W (+17),0,19:55,3,9,.333,0,0,,7,8,.875,0,6,6,3,4,1,1,3,13,13.9,+9,Cole Aldrich
2015-12-30,27-060,LAC,AWAY,CHO,W (+5),0,14:26,3,6,.500,0,0,,1,1,1.000,0,3,3,2,2,2,1,4,7,7.1,-1,Cole Aldrich
2015-12-31,27-061,LAC,AWAY,NOP,W (+6),0,10:40,2,3,.667,0,0,,0,0,,1,3,4,1,1,0,1,2,4,4.2,-6,Cole Aldrich
2016-01-02,27-063,LAC,HOME,PHI,W (+31),0,11:31,4,6,.667,0,0,,0,0,,0,9,9,1,0,2,3,5,8,5.2,+13,Cole Aldrich
2016-01-06,27-067,LAC,AWAY,POR,W (+11),0,12:04,1,3,.333,0,0,,2,2,1.000,2,1,3,0,0,0,1,2,4,2.2,-5,Cole Aldrich
2016-01-09,27-070,LAC,HOME,CHO,W (+14),0,12:35,4,6,.667,0,0,,0,0,,2,2,4,0,0,0,0,0,8,7.4,-7,Cole Aldrich
2016-01-10,27-071,LAC,HOME,NOP,W (+3),0,9:08,0,2,.000,0,0,,0,0,,1,5,6,0,0,0,1,4,0,-1.8,-13,Cole Aldrich
2016-01-13,27-074,LAC,HOME,MIA,W (+14),1,24:12,7,14,.500,0,0,,5,7,.714,4,3,7,3,1,0,2,1,19,15.6,+10,Cole Aldrich
2016-01-16,27-077,LAC,HOME,SAC,L (-7),1,28:37,8,14,.571,0,0,,3,6,.500,4,6,10,2,2,3,2,4,19,17.7,-6,Cole Aldrich
2016-01-18,27-079,LAC,HOME,HOU,W (+8),0,11:30,3,5,.600,0,0,,2,2,1.000,3,1,4,1,1,1,0,4,8,8.9,+2,Cole Aldrich
2016-01-21,27-082,LAC,AWAY,CLE,L (-13),0,14:34,4,9,.444,0,0,,3,4,.750,2,2,4,3,0,1,0,3,11,9.5,+6,Cole Aldrich
2016-01-22,27-083,LAC,AWAY,NYK,W (+28),0,17:58,4,6,.667,0,0,,4,4,1.000,1,4,5,0,1,1,1,2,12,11.2,+4,Cole Aldrich
2016-01-24,27-085,LAC,AWAY,TOR,L (-18),0,10:40,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,1,3,2,-0.2,-26,Cole Aldrich
2016-01-26,27-087,LAC,AWAY,IND,W (+2),0,6:46,0,1,.000,0,0,,0,2,.000,0,2,2,0,0,0,0,1,0,-1.3,+6,Cole Aldrich
2016-01-27,27-088,LAC,AWAY,ATL,W (+2),0,13:48,1,4,.250,0,0,,1,2,.500,2,2,4,1,0,2,1,2,3,2.5,+11,Cole Aldrich
2016-01-29,27-090,LAC,HOME,LAL,W (+12),0,13:21,1,1,1.000,0,0,,4,6,.667,0,4,4,1,0,1,0,2,6,6.7,-7,Cole Aldrich
2016-01-31,27-092,LAC,HOME,CHI,W (+27),0,9:51,0,1,.000,0,0,,0,0,,0,4,4,3,0,0,2,1,0,0.2,+3,Cole Aldrich
2016-02-03,27-095,LAC,HOME,MIN,L (-6),0,11:40,1,1,1.000,0,0,,2,2,1.000,2,0,2,0,1,1,0,4,4,5.2,+2,Cole Aldrich
2016-02-05,27-097,LAC,AWAY,ORL,W (+14),0,8:20,1,3,.333,0,0,,0,0,,0,2,2,0,1,0,2,5,2,-2.1,-2,Cole Aldrich
2016-02-07,27-099,LAC,AWAY,MIA,W (+7),0,13:18,2,3,.667,0,0,,1,5,.200,3,8,11,1,0,2,1,2,5,6.9,+2,Cole Aldrich
2016-02-08,27-100,LAC,AWAY,PHI,W (+6),0,10:18,4,5,.800,0,0,,2,2,1.000,2,1,3,0,1,0,0,1,10,10.4,-6,Cole Aldrich
2016-02-10,27-102,LAC,AWAY,BOS,L (-5),0,8:20,1,1,1.000,0,0,,0,0,,1,0,1,2,1,1,2,4,2,1.9,+2,Cole Aldrich
2016-02-18,27-110,LAC,HOME,SAS,W (+19),0,20:23,4,5,.800,0,0,,0,2,.000,2,6,8,2,0,3,1,3,8,9.8,-10,Cole Aldrich
2016-02-20,27-112,LAC,HOME,GSW,L (-3),0,8:07,2,4,.500,0,0,,0,0,,4,2,6,2,0,0,1,2,4,5.0,+3,Cole Aldrich
2016-02-22,27-114,LAC,HOME,PHO,W (+40),0,14:15,4,6,.667,0,0,,0,0,,3,5,8,1,1,3,4,2,8,8.0,+7,Cole Aldrich
2016-02-24,27-116,LAC,HOME,DEN,L (-6),0,11:09,1,1,1.000,0,0,,0,0,,1,3,4,0,2,1,1,1,2,4.6,0,Cole Aldrich
2016-02-26,27-118,LAC,AWAY,SAC,W (+10),0,14:12,0,1,.000,0,0,,0,0,,2,3,5,1,0,0,1,5,0,-0.7,+3,Cole Aldrich
2016-02-29,27-121,LAC,HOME,BRK,W (+10),0,10:58,1,2,.500,0,0,,0,0,,1,5,6,0,0,2,0,3,2,3.4,+5,Cole Aldrich
2016-03-02,27-123,LAC,HOME,OKC,W (+5),0,11:32,4,5,.800,0,0,,0,0,,0,6,6,0,1,0,0,0,8,8.9,+2,Cole Aldrich
2016-03-05,27-126,LAC,HOME,ATL,L (-10),0,12:14,1,2,.500,0,0,,0,0,,3,3,6,0,1,2,1,2,2,4.6,+2,Cole Aldrich
