DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-01-06,24-247,MIL,HOME,DET,W (+15),0,0:57,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,Jaylen Adams
2021-02-03,24-275,MIL,HOME,IND,W (+20),0,8:28,0,4,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,1,0,-1.5,-15,Jaylen Adams
2021-02-05,24-277,MIL,AWAY,CLE,W (+18),0,1:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,Jaylen Adams
2021-02-06,24-278,MIL,AWAY,CLE,W (+25),0,4:32,1,3,.333,0,0,,0,0,,0,2,2,0,0,0,0,0,2,0.9,0,Jaylen Adams
2021-02-08,24-280,MIL,AWAY,DEN,W (+13),0,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Jaylen Adams
2021-02-12,24-284,MIL,AWAY,UTA,L (-14),0,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Jaylen Adams
2021-02-18,24-290,MIL,HOME,TOR,L (-14),0,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Jaylen Adams
2020-12-23,26-017,MIL,AWAY,BOS,L (-1),1,36:24,13,26,.500,3,8,.375,6,8,.750,2,11,13,2,0,2,7,5,35,19.7,-1,Giannis Antetokounmpo
2020-12-25,26-019,MIL,HOME,GSW,W (+39),1,26:42,4,14,.286,0,3,.000,7,15,.467,4,9,13,4,0,0,2,2,15,9.1,+26,Giannis Antetokounmpo
2020-12-27,26-021,MIL,AWAY,NYK,L (-20),1,31:59,9,15,.600,1,5,.200,8,13,.615,2,11,13,5,3,0,3,3,27,25.1,-13,Giannis Antetokounmpo
2020-12-29,26-023,MIL,AWAY,MIA,W (+47),1,24:14,3,9,.333,0,2,.000,3,5,.600,0,6,6,6,3,0,2,2,9,9.3,+23,Giannis Antetokounmpo
2020-12-30,26-024,MIL,AWAY,MIA,L (-11),1,38:01,10,18,.556,2,6,.333,4,4,1.000,2,11,13,10,3,1,4,3,26,27.6,-5,Giannis Antetokounmpo
2021-01-01,26-026,MIL,HOME,CHI,W (+30),1,27:46,9,19,.474,1,5,.200,10,18,.556,1,11,12,8,2,2,2,4,29,25.5,+31,Giannis Antetokounmpo
2021-01-04,26-029,MIL,HOME,DET,W (+10),1,36:04,17,24,.708,2,6,.333,7,9,.778,2,7,9,4,0,1,3,4,43,34.6,+16,Giannis Antetokounmpo
2021-01-06,26-031,MIL,HOME,DET,W (+15),1,28:28,8,15,.533,1,5,.200,8,14,.571,2,6,8,4,0,1,5,4,25,15.4,+24,Giannis Antetokounmpo
2021-01-08,26-033,MIL,HOME,UTA,L (-13),1,32:41,14,25,.560,2,5,.400,5,7,.714,1,7,8,4,0,1,2,2,35,25.8,-5,Giannis Antetokounmpo
2021-01-11,26-036,MIL,AWAY,ORL,W (+22),1,27:17,8,16,.500,2,4,.500,4,7,.571,0,6,6,4,1,2,4,5,22,13.8,+4,Giannis Antetokounmpo
2021-01-13,26-038,MIL,AWAY,DET,W (+9),1,33:28,7,15,.467,2,5,.400,6,10,.600,2,8,10,10,2,3,5,3,22,21.4,+12,Giannis Antetokounmpo
2021-01-15,26-040,MIL,HOME,DAL,W (+3),1,30:12,14,21,.667,2,5,.400,1,10,.100,3,6,9,1,0,1,5,4,31,17.0,+1,Giannis Antetokounmpo
2021-01-18,26-043,MIL,AWAY,BRK,L (-2),1,39:48,13,26,.500,2,6,.333,6,8,.750,1,11,12,7,2,0,1,1,34,29.7,-12,Giannis Antetokounmpo
2021-01-21,26-046,MIL,HOME,LAL,L (-7),1,35:04,11,17,.647,1,3,.333,2,4,.500,1,11,12,3,0,1,9,6,25,12.1,-6,Giannis Antetokounmpo
2021-01-24,26-049,MIL,HOME,ATL,W (+14),1,36:22,9,13,.692,0,2,.000,9,15,.600,3,11,14,8,0,1,5,4,27,24.2,+12,Giannis Antetokounmpo
2021-01-27,26-052,MIL,AWAY,TOR,W (+7),1,37:47,8,14,.571,0,1,.000,8,14,.571,1,17,18,9,1,1,5,3,24,22.6,+10,Giannis Antetokounmpo
2021-01-29,26-054,MIL,AWAY,NOP,L (-5),1,38:51,15,27,.556,2,7,.286,6,7,.857,3,8,11,5,2,2,4,3,38,30.9,+1,Giannis Antetokounmpo
2021-01-30,26-055,MIL,AWAY,CHO,L (-12),1,39:24,12,19,.632,0,4,.000,10,18,.556,2,16,18,9,1,1,3,1,34,33.1,0,Giannis Antetokounmpo
2021-02-01,26-057,MIL,HOME,POR,W (+28),1,25:46,8,11,.727,0,0,,2,3,.667,1,3,4,6,0,1,1,3,18,17.4,+25,Giannis Antetokounmpo
2021-02-03,26-059,MIL,HOME,IND,W (+20),1,30:38,7,8,.875,0,0,,7,8,.875,2,12,14,10,2,1,4,0,21,28.5,+30,Giannis Antetokounmpo
2021-02-05,26-061,MIL,AWAY,CLE,W (+18),1,33:20,13,25,.520,1,3,.333,6,8,.750,2,10,12,4,1,4,3,3,33,26.7,+15,Giannis Antetokounmpo
