DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2015-10-28,24-160,PHI,AWAY,BOS,L (-17),1,37:59,6,14,.429,4,10,.400,2,2,1.000,1,6,7,2,1,0,3,0,18,12.5,-3,Isaiah Canaan
2015-10-30,24-162,PHI,HOME,UTA,L (-28),1,31:12,1,9,.111,1,6,.167,7,10,.700,1,4,5,2,0,0,4,4,10,0.6,-16,Isaiah Canaan
2015-11-02,24-165,PHI,HOME,CLE,L (-7),1,30:56,2,8,.250,1,3,.333,2,2,1.000,0,2,2,1,0,0,0,0,7,3.5,-19,Isaiah Canaan
2015-11-04,24-167,PHI,AWAY,MIL,L (-4),0,15:00,0,4,.000,0,3,.000,3,3,1.000,0,1,1,1,1,1,1,2,3,1.1,-16,Isaiah Canaan
2015-11-06,24-169,PHI,AWAY,CLE,L (-6),0,21:31,5,8,.625,3,5,.600,4,4,1.000,0,0,0,4,0,0,1,1,17,14.8,+9,Isaiah Canaan
2015-11-07,24-170,PHI,HOME,ORL,L (-8),0,26:42,8,16,.500,6,12,.500,1,1,1.000,0,3,3,1,3,1,1,2,23,18.5,+1,Isaiah Canaan
2015-11-09,24-172,PHI,HOME,CHI,L (-23),0,20:51,1,5,.200,1,3,.333,0,0,,0,3,3,1,1,0,0,0,3,2.5,-9,Isaiah Canaan
2015-11-11,24-174,PHI,HOME,TOR,L (-16),0,28:43,5,11,.455,5,10,.500,3,3,1.000,0,0,0,1,0,0,2,2,18,10.2,-1,Isaiah Canaan
2015-11-13,24-176,PHI,AWAY,OKC,L (-17),0,14:52,0,4,.000,0,1,.000,2,3,.667,0,1,1,2,2,0,0,1,2,2.1,+2,Isaiah Canaan
2015-11-14,24-177,PHI,AWAY,SAS,L (-9),0,26:32,2,11,.182,2,6,.333,0,0,,1,4,5,3,0,0,1,1,6,1.7,0,Isaiah Canaan
2015-11-16,24-179,PHI,HOME,DAL,L (-6),0,25:21,1,9,.111,1,8,.125,0,1,.000,0,1,1,1,1,0,1,0,3,-2.3,-1,Isaiah Canaan
2015-11-18,24-181,PHI,HOME,IND,L (-27),0,16:54,1,5,.200,1,5,.200,0,0,,0,0,0,0,0,1,1,0,3,-0.4,-7,Isaiah Canaan
2015-11-20,24-183,PHI,AWAY,CHO,L (-25),0,20:40,3,7,.429,1,3,.333,1,2,.500,0,2,2,2,1,0,1,2,8,5.1,-8,Isaiah Canaan
2015-11-21,24-184,PHI,AWAY,MIA,L (-5),0,27:57,7,17,.412,5,12,.417,3,3,1.000,0,0,0,2,1,0,2,2,22,12.5,+8,Isaiah Canaan
2015-11-23,24-186,PHI,AWAY,MIN,L (-5),0,29:32,3,10,.300,3,9,.333,5,5,1.000,1,2,3,3,1,1,3,5,14,8.3,-12,Isaiah Canaan
2015-11-25,24-188,PHI,AWAY,BOS,L (-4),1,32:22,3,9,.333,2,7,.286,4,4,1.000,0,5,5,2,1,2,2,2,12,9.4,-1,Isaiah Canaan
2015-11-27,24-190,PHI,AWAY,HOU,L (-2),1,32:23,9,17,.529,4,10,.400,1,3,.333,0,2,2,2,0,1,3,5,23,11.6,-9,Isaiah Canaan
2015-11-29,24-192,PHI,AWAY,MEM,L (-8),1,35:21,5,15,.333,4,12,.333,2,2,1.000,0,1,1,3,2,0,4,3,16,6.7,-7,Isaiah Canaan
2015-12-01,24-194,PHI,HOME,LAL,W (+12),1,30:19,4,9,.444,4,7,.571,0,0,,0,3,3,5,1,0,0,1,12,12.3,+13,Isaiah Canaan
2015-12-02,24-195,PHI,AWAY,NYK,L (-12),1,30:08,4,15,.267,2,6,.333,0,0,,2,3,5,3,1,0,1,1,10,5.1,-6,Isaiah Canaan
2015-12-05,24-198,PHI,HOME,DEN,L (-3),1,24:19,5,9,.556,5,8,.625,0,0,,0,1,1,1,1,0,2,2,15,9.9,-7,Isaiah Canaan
2015-12-07,24-200,PHI,HOME,SAS,L (-51),1,27:32,0,6,.000,0,5,.000,0,0,,0,1,1,5,0,0,0,0,0,-0.4,-22,Isaiah Canaan
2015-12-10,24-203,PHI,AWAY,BRK,L (-9),1,25:17,2,10,.200,0,6,.000,0,0,,1,2,3,3,1,1,1,2,4,1.1,-9,Isaiah Canaan
2015-12-11,24-204,PHI,HOME,DET,L (-12),1,22:49,1,5,.200,1,3,.333,4,4,1.000,0,1,1,2,0,0,1,1,7,4.2,-1,Isaiah Canaan
2015-12-13,24-206,PHI,AWAY,TOR,L (-20),1,36:02,3,9,.333,3,8,.375,1,1,1.000,0,1,1,3,0,0,2,2,10,4.5,-9,Isaiah Canaan
2015-12-14,24-207,PHI,AWAY,CHI,L (-19),1,29:49,1,5,.200,1,3,.333,1,1,1.000,0,1,1,3,0,0,1,2,4,1.5,+2,Isaiah Canaan
2015-12-16,24-209,PHI,AWAY,ATL,L (-21),1,30:31,7,12,.583,6,8,.750,4,5,.800,0,1,1,0,1,0,3,3,24,15.1,+5,Isaiah Canaan
2015-12-18,24-211,PHI,HOME,NYK,L (-10),1,28:43,4,10,.400,2,6,.333,4,5,.800,0,0,0,3,0,0,2,3,14,7.1,-20,Isaiah Canaan
2015-12-20,24-213,PHI,AWAY,CLE,L (-22),1,21:12,2,9,.222,2,6,.333,0,0,,0,2,2,0,1,0,1,3,6,-0.1,-26,Isaiah Canaan
2015-12-22,24-215,PHI,HOME,MEM,L (-14),1,30:06,5,8,.625,2,5,.400,3,6,.500,0,1,1,1,2,1,0,1,15,13.5,+1,Isaiah Canaan
2015-12-23,24-216,PHI,AWAY,MIL,L (-13),0,19:58,3,6,.500,2,5,.400,2,3,.667,0,4,4,2,1,0,3,2,10,6.4,-3,Isaiah Canaan
2015-12-26,24-219,PHI,AWAY,PHO,W (+7),1,27:38,6,12,.500,4,8,.500,6,6,1.000,0,4,4,3,1,0,2,1,22,17.9,-4,Isaiah Canaan
2015-12-28,24-221,PHI,AWAY,UTA,L (-4),1,17:22,1,6,.167,0,3,.000,2,4,.500,0,4,4,1,0,0,0,2,4,0.5,-14,Isaiah Canaan
2015-12-30,24-223,PHI,AWAY,SAC,W (+5),1,31:30,6,18,.333,3,11,.273,0,0,,0,3,3,1,1,0,0,1,15,7.0,+9,Isaiah Canaan
