DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-10-20,24-361,BOS,AWAY,NYK,L (-4),1,45:58,16,30,.533,8,14,.571,6,8,.750,0,9,9,6,3,1,4,5,46,35.2,+16,Jaylen Brown
2021-10-22,24-363,BOS,HOME,TOR,L (-32),1,28:24,3,13,.231,0,7,.000,3,4,.750,0,4,4,0,0,0,5,2,9,-3.9,+3,Jaylen Brown
2021-10-25,25-001,BOS,AWAY,CHO,W (+11),1,37:59,12,20,.600,3,7,.429,3,4,.750,3,6,9,3,3,1,3,3,30,25.9,+12,Jaylen Brown
2021-10-27,25-003,BOS,HOME,WAS,L (-9),1,37:21,5,16,.313,1,4,.250,2,2,1.000,0,4,4,1,0,0,3,3,13,1.5,-8,Jaylen Brown
2021-10-30,25-006,BOS,AWAY,WAS,L (-3),1,47:23,14,24,.583,0,5,.000,6,7,.857,0,6,6,2,1,1,3,3,34,23.1,-6,Jaylen Brown
2021-11-01,25-008,BOS,HOME,CHI,L (-14),1,33:35,10,18,.556,5,8,.625,3,4,.750,0,7,7,3,1,0,1,3,28,22.0,+1,Jaylen Brown
2021-11-03,25-010,BOS,AWAY,ORL,W (+13),1,31:48,10,17,.588,3,8,.375,5,7,.714,0,5,5,3,1,0,2,4,28,20.3,+16,Jaylen Brown
2021-11-04,25-011,BOS,AWAY,MIA,W (+17),1,29:17,5,14,.357,3,5,.600,4,5,.800,0,5,5,2,1,1,2,2,17,10.6,+12,Jaylen Brown
2021-11-22,25-029,BOS,HOME,HOU,W (+18),1,22:47,6,13,.462,3,6,.500,4,4,1.000,0,3,3,0,1,1,2,4,19,11.3,+21,Jaylen Brown
2021-11-24,25-031,BOS,HOME,BRK,L (-19),1,23:57,5,15,.333,0,8,.000,3,3,1.000,1,4,5,0,2,0,2,2,13,5.6,-7,Jaylen Brown
2021-11-26,25-033,BOS,AWAY,SAS,L (-8),1,27:05,6,16,.375,3,7,.429,1,3,.333,0,4,4,3,0,1,1,2,16,8.6,-2,Jaylen Brown
2021-11-28,25-035,BOS,AWAY,TOR,W (+12),1,27:26,6,11,.545,1,2,.500,3,4,.750,2,1,3,3,1,0,2,1,16,12.7,-6,Jaylen Brown
2021-12-01,25-038,BOS,HOME,PHI,W (+1),1,33:27,3,11,.273,1,4,.250,2,4,.500,0,4,4,3,0,0,1,1,9,3.6,+5,Jaylen Brown
2021-12-13,25-050,BOS,HOME,MIL,W (+14),1,29:58,6,13,.462,3,7,.429,4,4,1.000,0,4,4,5,2,1,3,1,19,16.3,+20,Jaylen Brown
2021-12-17,25-054,BOS,HOME,GSW,L (-4),1,33:18,8,16,.500,4,7,.571,0,2,.000,2,7,9,2,1,0,5,4,20,10.5,-2,Jaylen Brown
2021-12-18,25-055,BOS,HOME,NYK,W (+7),1,32:29,8,21,.381,5,13,.385,2,4,.500,1,3,4,5,2,0,4,1,23,13.4,+3,Jaylen Brown
2021-12-20,25-057,BOS,HOME,PHI,L (-5),1,34:23,9,22,.409,3,9,.333,9,10,.900,2,3,5,4,2,0,3,3,30,20.7,-8,Jaylen Brown
2021-12-22,25-059,BOS,HOME,CLE,W (+10),1,35:36,12,22,.545,5,10,.500,5,5,1.000,2,4,6,3,1,1,3,3,34,25.6,+14,Jaylen Brown
2021-12-25,25-062,BOS,AWAY,MIL,L (-4),1,37:14,8,18,.444,2,7,.286,7,7,1.000,1,3,4,3,2,1,3,4,25,17.4,-15,Jaylen Brown
2021-12-27,25-064,BOS,AWAY,MIN,L (-5),1,39:24,8,24,.333,2,8,.250,8,13,.615,3,7,10,4,0,1,6,3,26,10.9,+11,Jaylen Brown
2021-12-29,25-066,BOS,HOME,LAC,L (-9),1,39:52,13,36,.361,1,13,.077,3,5,.600,2,6,8,0,2,0,3,3,30,10.2,-2,Jaylen Brown
2021-12-31,25-068,BOS,HOME,PHO,W (+15),1,35:57,8,20,.400,3,9,.333,5,6,.833,1,10,11,3,0,0,6,4,24,11.0,+6,Jaylen Brown
2022-01-02,25-070,BOS,HOME,ORL,W (+5),1,46:08,19,29,.655,5,10,.500,7,8,.875,0,11,11,4,1,2,7,4,50,36.8,+10,Jaylen Brown
