SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2015-16,20.0,POR,NBA,PF,8.0,36.0,0.5,0.452,0.5,0.491,0.0,0.354,0.5,0.502,0.0,0.757,0.5,0.541,0.0,0.276,0.0,0.285,111.0,102.0,0.0,100.0,0.0,92.0,0.0,0.0,0.0,-0.8,Cliff Alexander
2010-11,20.0,LAC,NBA,SF,81.0,1452.0,0.394,0.459,0.437,0.487,0.315,0.358,0.45,0.498,0.773,0.763,0.499,0.541,0.293,0.3,0.352,0.222,86.0,90.0,88.0,90.0,101.0,92.0,98.0,159.0,-39.7,-39.3,Al-Farouq Aminu
2011-12,21.0,NOH,NBA,SF,66.0,1477.0,0.411,0.448,0.431,0.477,0.277,0.349,0.429,0.487,0.754,0.752,0.481,0.527,0.312,0.276,0.129,0.226,92.0,90.0,79.0,88.0,100.0,91.0,113.0,57.0,-42.7,-38.7,Al-Farouq Aminu
2012-13,22.0,NOH,NBA,SF,76.0,2066.0,0.475,0.453,0.486,0.483,0.211,0.359,0.479,0.496,0.737,0.753,0.519,0.535,0.289,0.27,0.04,0.243,105.0,101.0,59.0,96.0,98.0,97.0,107.0,16.0,-16.6,-16.3,Al-Farouq Aminu
2013-14,23.0,NOP,NBA,SF,80.0,2045.0,0.474,0.454,0.496,0.488,0.271,0.36,0.487,0.501,0.664,0.756,0.516,0.541,0.277,0.284,0.097,0.259,104.0,102.0,75.0,97.0,88.0,95.0,98.0,37.0,-14.1,-27.6,Al-Farouq Aminu
2014-15,24.0,DAL,NBA,SF,74.0,1366.0,0.412,0.449,0.485,0.485,0.274,0.35,0.459,0.496,0.712,0.75,0.504,0.534,0.331,0.273,0.347,0.268,92.0,100.0,78.0,93.0,95.0,94.0,121.0,130.0,-26.1,-24.9,Al-Farouq Aminu
2015-16,25.0,POR,NBA,SF,82.0,2341.0,0.416,0.452,0.468,0.491,0.361,0.354,0.503,0.502,0.737,0.757,0.533,0.541,0.217,0.276,0.485,0.285,92.0,95.0,102.0,100.0,97.0,98.0,79.0,170.0,1.4,-13.6,Al-Farouq Aminu
2016-17,26.0,POR,NBA,PF,61.0,1773.0,0.393,0.457,0.445,0.503,0.33,0.358,0.468,0.514,0.706,0.772,0.506,0.552,0.292,0.271,0.455,0.316,86.0,88.0,92.0,91.0,91.0,92.0,108.0,144.0,-42.8,-48.9,Al-Farouq Aminu
2017-18,27.0,POR,NBA,PF,69.0,2072.0,0.395,0.46,0.432,0.51,0.369,0.362,0.503,0.521,0.738,0.767,0.522,0.556,0.137,0.252,0.582,0.337,86.0,85.0,102.0,96.0,96.0,94.0,55.0,173.0,-21.7,-42.5,Al-Farouq Aminu
2018-19,28.0,POR,NBA,PF,81.0,2292.0,0.433,0.461,0.514,0.52,0.343,0.355,0.514,0.524,0.867,0.766,0.568,0.56,0.292,0.259,0.472,0.359,94.0,99.0,97.0,98.0,113.0,101.0,113.0,132.0,-11.7,11.1,Al-Farouq Aminu
