DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-10-30,31-177,HOU,AWAY,WAS,W (+1),0,4:08,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,1.9,-4,Ryan Anderson
2019-11-03,31-181,HOU,AWAY,MIA,L (-29),0,9:50,1,5,.200,0,3,.000,0,0,,0,6,6,2,1,0,1,0,2,2.1,+11,Ryan Anderson
2019-10-23,24-032,MEM,AWAY,MIA,L (-19),0,4:44,1,4,.250,0,1,.000,0,0,,1,2,3,0,0,1,1,0,2,0.6,-3,Bruno Caboclo
2019-10-29,24-038,MEM,AWAY,LAL,L (-29),0,8:29,0,3,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,2,0,-1.9,-16,Bruno Caboclo
2019-11-02,24-042,MEM,HOME,PHO,L (-9),0,4:54,0,2,.000,0,0,,0,0,,0,0,0,0,1,1,0,0,0,0.3,-4,Bruno Caboclo
2019-11-04,24-044,MEM,HOME,HOU,L (-7),0,24:11,5,8,.625,1,3,.333,0,0,,3,2,5,1,2,2,0,2,11,13.4,-4,Bruno Caboclo
2019-11-06,24-046,MEM,HOME,MIN,W (+16),0,13:52,2,5,.400,1,4,.250,0,0,,0,3,3,2,0,2,1,2,5,4.2,+9,Bruno Caboclo
2019-11-08,24-048,MEM,AWAY,ORL,L (-32),0,5:34,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-0.4,-7,Bruno Caboclo
2019-11-09,24-049,MEM,HOME,DAL,L (-16),0,9:45,4,6,.667,0,0,,0,0,,1,3,4,1,1,1,1,1,8,8.0,+6,Bruno Caboclo
2019-11-17,24-057,MEM,HOME,DEN,L (-17),0,12:00,2,3,.667,1,2,.500,0,0,,0,1,1,1,0,0,1,2,5,2.9,+11,Bruno Caboclo
2019-11-19,24-059,MEM,HOME,GSW,L (-19),0,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-2,Bruno Caboclo
2019-11-25,24-065,MEM,AWAY,IND,L (-12),0,1:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,Bruno Caboclo
2019-12-01,24-071,MEM,AWAY,MIN,W (+8),0,28:43,5,14,.357,0,3,.000,2,3,.667,5,8,13,1,3,0,2,2,12,10.6,+3,Bruno Caboclo
2019-12-02,24-072,MEM,HOME,IND,L (-13),0,14:11,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,1,1,2,2,-0.8,+1,Bruno Caboclo
2019-12-04,24-074,MEM,AWAY,CHI,L (-7),0,12:44,1,3,.333,0,1,.000,0,0,,2,0,2,1,0,2,0,0,2,3.8,-8,Bruno Caboclo
2019-12-07,24-077,MEM,AWAY,UTA,L (-14),0,11:05,3,4,.750,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,7,5.7,+3,Bruno Caboclo
2019-12-09,24-079,MEM,AWAY,GSW,W (+8),0,6:30,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,3.7,-2,Bruno Caboclo
2019-12-13,24-083,MEM,HOME,MIL,L (-13),0,14:24,1,3,.333,0,1,.000,0,0,,2,2,4,0,2,1,0,4,2,3.4,-6,Bruno Caboclo
2019-12-14,24-084,MEM,HOME,WAS,W (+17),0,4:34,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,0.6,-7,Bruno Caboclo
2019-12-21,24-091,MEM,HOME,SAC,W (+4),0,4:48,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+9,Bruno Caboclo
2019-12-23,24-093,MEM,HOME,SAS,L (-30),0,3:05,0,1,.000,0,0,,0,0,,0,0,0,2,1,0,0,0,0,1.7,-4,Bruno Caboclo
2019-12-28,24-098,MEM,AWAY,DEN,L (-9),0,1:32,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,1,0,-0.1,+4,Bruno Caboclo
2019-12-29,24-099,MEM,HOME,CHO,W (+13),0,1:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4,Bruno Caboclo
