DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-10-23,22-364,BOS,AWAY,PHI,L (-14),1,20:52,3,6,.500,1,2,.500,1,3,.333,0,7,7,0,1,0,1,5,8,4.3,-12,Jaylen Brown
2019-10-25,23-001,BOS,HOME,TOR,W (+6),1,38:04,11,20,.550,2,7,.286,1,1,1.000,0,9,9,4,0,2,1,2,25,20.5,+2,Jaylen Brown
2019-10-26,23-002,BOS,AWAY,NYK,W (+23),1,27:06,6,14,.429,1,5,.200,6,8,.750,1,3,4,2,1,1,2,4,19,11.9,+20,Jaylen Brown
2019-11-07,23-014,BOS,AWAY,CHO,W (+21),1,32:07,5,9,.556,0,2,.000,2,2,1.000,0,5,5,1,1,0,2,1,12,8.5,+13,Jaylen Brown
2019-11-09,23-016,BOS,AWAY,SAS,W (+20),1,32:04,10,18,.556,1,3,.333,9,10,.900,1,6,7,3,1,0,0,3,30,25.4,+21,Jaylen Brown
2019-11-11,23-018,BOS,HOME,DAL,W (+10),1,38:09,9,16,.563,2,4,.500,5,7,.714,3,8,11,3,0,0,1,4,25,20.6,+12,Jaylen Brown
2019-11-13,23-020,BOS,HOME,WAS,W (+7),1,34:59,9,19,.474,0,3,.000,4,4,1.000,1,4,5,4,1,0,2,4,22,14.4,-4,Jaylen Brown
2019-11-15,23-022,BOS,AWAY,GSW,W (+5),1,34:47,9,17,.529,3,3,1.000,1,2,.500,1,7,8,3,3,0,2,4,22,17.6,-4,Jaylen Brown
2019-11-17,23-024,BOS,AWAY,SAC,L (-1),1,35:23,7,16,.438,4,7,.571,0,0,,1,7,8,0,2,0,4,1,18,10.0,-5,Jaylen Brown
2019-11-18,23-025,BOS,AWAY,PHO,W (+14),1,29:36,6,16,.375,2,5,.400,0,2,.000,4,5,9,3,1,0,1,4,14,9.2,+4,Jaylen Brown
2019-11-20,23-027,BOS,AWAY,LAC,L (-3),1,39:11,3,14,.214,1,8,.125,2,4,.500,1,5,6,1,1,0,3,5,9,-1.5,-4,Jaylen Brown
2019-11-22,23-029,BOS,AWAY,DEN,L (-4),1,36:16,6,15,.400,4,7,.571,6,8,.750,1,9,10,4,1,0,1,4,22,17.7,-1,Jaylen Brown
2019-11-25,23-032,BOS,HOME,SAC,W (+1),1,34:05,9,16,.563,2,7,.286,4,5,.800,0,4,4,0,1,0,0,0,24,18.2,+1,Jaylen Brown
2019-11-27,23-034,BOS,HOME,BRK,W (+11),1,32:54,9,15,.600,2,6,.333,2,2,1.000,1,9,10,2,3,1,2,3,22,20.4,+19,Jaylen Brown
