DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2020-12-23,21-097,UTA,AWAY,POR,W (+20),0,3:35,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,0,Udoka Azubuike
2021-01-03,21-108,UTA,AWAY,SAS,W (+21),0,5:35,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,1,2,1.3,-10,Udoka Azubuike
2021-01-05,21-110,UTA,AWAY,BRK,L (-34),0,7:34,0,0,,0,0,,2,4,.500,0,2,2,0,1,0,0,1,2,2.4,-7,Udoka Azubuike
2021-01-08,21-113,UTA,AWAY,MIL,W (+13),0,1:15,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2,Udoka Azubuike
2021-01-12,21-117,UTA,AWAY,CLE,W (+30),0,5:39,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,-1,Udoka Azubuike
2021-01-15,21-120,UTA,HOME,ATL,W (+24),0,6:36,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,2,0,-2.8,-4,Udoka Azubuike
2021-01-19,21-124,UTA,HOME,NOP,W (+16),0,1:49,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,0,Udoka Azubuike
2021-01-21,21-126,UTA,HOME,NOP,W (+11),0,1:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,Udoka Azubuike
2021-01-23,21-128,UTA,HOME,GSW,W (+19),0,9:37,1,2,.500,0,0,,2,2,1.000,2,2,4,0,0,1,1,3,4,3.5,-21,Udoka Azubuike
2021-01-26,21-131,UTA,HOME,NYK,W (+14),0,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Udoka Azubuike
2021-01-27,21-132,UTA,HOME,DAL,W (+12),0,1:34,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-4,Udoka Azubuike
2021-01-29,21-134,UTA,HOME,DAL,W (+19),0,2:43,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-5,Udoka Azubuike
2021-05-12,21-237,UTA,HOME,POR,L (-7),0,2:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+7,Udoka Azubuike
2021-05-14,21-239,UTA,AWAY,OKC,W (+16),0,3:01,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-4,Udoka Azubuike
2021-05-16,21-241,UTA,AWAY,SAC,W (+22),0,2:53,0,0,,0,0,,4,4,1.000,0,0,0,0,0,0,0,0,4,4.0,-6,Udoka Azubuike
2020-12-23,31-249,UTA,AWAY,POR,W (+20),1,33:12,5,14,.357,4,11,.364,1,1,1.000,1,5,6,2,0,0,3,2,15,7.0,+22,Bojan Bogdanović
2020-12-26,31-252,UTA,HOME,MIN,L (-5),1,34:03,3,16,.188,1,5,.200,2,2,1.000,3,4,7,1,0,1,0,0,9,3.7,-7,Bojan Bogdanović
2020-12-28,31-254,UTA,AWAY,OKC,W (+1),1,34:44,8,17,.471,5,9,.556,2,2,1.000,0,3,3,1,2,0,1,0,23,16.9,-3,Bojan Bogdanović
2020-12-31,31-257,UTA,HOME,PHO,L (-11),1,28:46,0,5,.000,0,4,.000,3,4,.750,0,1,1,1,0,0,3,0,3,-2.9,-5,Bojan Bogdanović
2021-01-01,31-258,UTA,HOME,LAC,W (+6),1,33:10,3,12,.250,0,4,.000,0,0,,1,2,3,1,0,0,0,5,6,-1.2,-13,Bojan Bogdanović
2021-01-03,31-260,UTA,AWAY,SAS,W (+21),1,26:58,10,13,.769,6,7,.857,2,3,.667,0,1,1,3,1,0,1,2,28,24.1,+14,Bojan Bogdanović
2021-01-05,31-262,UTA,AWAY,BRK,L (-34),1,26:40,2,7,.286,0,3,.000,0,0,,0,2,2,1,0,0,0,1,4,0.8,-23,Bojan Bogdanović
2021-01-06,31-263,UTA,AWAY,NYK,L (-12),1,28:40,2,10,.200,1,7,.143,1,2,.500,1,3,4,1,0,0,2,2,6,-1.1,-16,Bojan Bogdanović
2021-01-08,31-265,UTA,AWAY,MIL,W (+13),1,30:20,7,16,.438,4,10,.400,2,2,1.000,1,4,5,3,0,0,3,4,20,11.0,+11,Bojan Bogdanović
2021-01-10,31-267,UTA,AWAY,DET,W (+10),1,29:16,3,11,.273,0,5,.000,1,2,.500,0,6,6,1,0,0,0,1,7,2.2,+11,Bojan Bogdanović
2021-01-12,31-269,UTA,AWAY,CLE,W (+30),1,27:49,6,10,.600,4,6,.667,4,4,1.000,0,2,2,3,0,0,2,0,20,16.1,+15,Bojan Bogdanović
2021-01-15,31-272,UTA,HOME,ATL,W (+24),1,26:53,6,12,.500,3,5,.600,2,2,1.000,1,2,3,1,0,0,2,1,17,10.6,+12,Bojan Bogdanović
2021-01-17,31-274,UTA,AWAY,DEN,W (+4),1,33:43,6,13,.462,5,9,.556,0,2,.000,1,2,3,3,0,0,4,1,17,8.5,-4,Bojan Bogdanović
2021-01-19,31-276,UTA,HOME,NOP,W (+16),1,28:41,4,11,.364,3,8,.375,0,0,,0,7,7,3,1,0,3,2,11,6.3,+2,Bojan Bogdanović
2021-01-21,31-278,UTA,HOME,NOP,W (+11),1,29:25,4,11,.364,1,5,.200,7,7,1.000,0,3,3,1,2,0,0,3,16,12.3,+23,Bojan Bogdanović
2021-01-23,31-280,UTA,HOME,GSW,W (+19),1,26:00,3,13,.231,3,9,.333,5,6,.833,1,6,7,8,0,0,1,1,14,12.4,+36,Bojan Bogdanović
2021-01-26,31-283,UTA,HOME,NYK,W (+14),1,24:02,2,10,.200,2,7,.286,5,6,.833,0,1,1,1,1,0,1,3,11,4.2,-4,Bojan Bogdanović
2021-01-27,31-284,UTA,HOME,DAL,W (+12),1,35:50,3,9,.333,0,1,.000,0,1,.000,0,3,3,1,0,0,1,1,6,0.7,+10,Bojan Bogdanović
2021-01-29,31-286,UTA,HOME,DAL,W (+19),1,32:06,10,16,.625,7,11,.636,5,5,1.000,0,0,0,2,0,0,1,2,32,24.4,+21,Bojan Bogdanović
2021-01-31,31-288,UTA,AWAY,DEN,L (-11),1,32:35,8,13,.615,5,10,.500,8,10,.800,0,4,4,2,0,0,1,3,29,22.7,0,Bojan Bogdanović
2021-02-02,31-290,UTA,HOME,DET,W (+12),1,32:23,5,12,.417,4,8,.500,4,4,1.000,0,3,3,3,1,0,1,2,18,13.8,+24,Bojan Bogdanović
2021-02-04,31-292,UTA,AWAY,ATL,W (+21),1,29:49,9,14,.643,1,2,.500,2,2,1.000,1,5,6,1,0,0,2,1,21,15.3,+32,Bojan Bogdanović
2021-02-05,31-293,UTA,AWAY,CHO,W (+17),1,37:23,10,15,.667,7,10,.700,4,4,1.000,0,7,7,5,0,0,0,1,31,29.7,+7,Bojan Bogdanović
