DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2022-10-22,22-064,SAC,HOME,LAC,L (-2),0,32:48,7,10,.700,3,6,.500,2,2,1.000,1,4,5,2,0,2,2,3,19,16.3,-4,Keegan Murray
2022-10-23,22-065,SAC,AWAY,GSW,L (-5),0,38:26,6,14,.429,4,10,.400,0,0,,1,3,4,0,1,0,2,2,16,8.4,+2,Keegan Murray
2022-10-27,22-069,SAC,HOME,MEM,L (-15),1,39:13,7,15,.467,3,8,.375,1,1,1.000,3,3,6,0,0,0,2,1,18,10.9,-10,Keegan Murray
2022-10-29,22-071,SAC,HOME,MIA,W (+6),1,35:48,8,13,.615,3,7,.429,3,4,.750,0,1,1,3,0,2,5,4,22,12.9,+2,Keegan Murray
2022-10-31,22-073,SAC,AWAY,CHO,W (+7),1,31:56,5,15,.333,2,7,.286,0,0,,1,3,4,2,1,1,1,1,12,6.8,+15,Keegan Murray
2022-11-02,22-075,SAC,AWAY,MIA,L (-3),1,27:16,3,7,.429,1,5,.200,0,0,,0,4,4,3,1,2,2,1,7,6.6,+7,Keegan Murray
2022-11-05,22-078,SAC,AWAY,ORL,W (+3),1,24:16,1,6,.167,1,4,.250,0,0,,0,2,2,0,1,0,1,1,3,-0.6,-12,Keegan Murray
2022-11-07,22-080,SAC,AWAY,GSW,L (-3),1,26:58,2,7,.286,1,4,.250,1,2,.500,2,5,7,2,2,0,0,4,6,6.2,-4,Keegan Murray
2022-11-09,22-082,SAC,HOME,CLE,W (+7),1,32:56,5,10,.500,4,7,.571,0,0,,0,3,3,1,2,1,1,4,14,10.7,-7,Keegan Murray
2022-11-11,22-084,SAC,AWAY,LAL,W (+6),1,25:41,1,4,.250,0,3,.000,0,0,,0,1,1,0,1,1,1,3,2,-0.6,+15,Keegan Murray
2022-11-13,22-086,SAC,HOME,GSW,W (+7),1,36:36,8,15,.533,5,9,.556,0,0,,0,4,4,0,3,0,2,4,21,14.3,+16,Keegan Murray
2022-11-15,22-088,SAC,HOME,BRK,W (+32),1,12:18,2,6,.333,0,2,.000,0,0,,0,3,3,0,0,0,0,0,4,1.5,+3,Keegan Murray
2022-11-20,22-093,SAC,HOME,DET,W (+8),1,34:41,4,10,.400,1,6,.167,4,5,.800,0,2,2,1,0,0,2,0,13,6.5,+9,Keegan Murray
2022-11-22,22-095,SAC,AWAY,MEM,W (+4),1,23:43,1,8,.125,0,4,.000,0,0,,1,2,3,2,0,0,0,2,2,-1.3,+2,Keegan Murray
