SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2018-19,22.0,DET,NBA,SG,74.0,1449.0,0.39799999999999996,0.461,0.457,0.52,0.258,0.355,0.436,0.524,0.75,0.7659999999999999,0.469,0.56,0.191,0.259,0.29600000000000004,0.359,86.0,88.0,73.0,83.0,98.0,84.0,74.0,83.0,-55.2,-62.0,Bruce Brown
2019-20,23.0,DET,NBA,PG,58.0,1634.0,0.44299999999999995,0.46,0.47,0.524,0.344,0.358,0.48,0.529,0.7390000000000001,0.773,0.518,0.565,0.266,0.26,0.215,0.384,96.0,90.0,96.0,91.0,96.0,92.0,102.0,56.0,-43.8,-47.0,Bruce Brown
2020-21,24.0,BRK,NBA,PG,65.0,1451.0,0.556,0.466,0.599,0.53,0.28800000000000003,0.36700000000000005,0.5760000000000001,0.5379999999999999,0.735,0.778,0.604,0.5720000000000001,0.27699999999999997,0.247,0.139,0.392,119.0,113.0,79.0,107.0,95.0,106.0,112.0,36.0,31.9,30.4,Bruce Brown
2021-22,25.0,BRK,NBA,SF,72.0,1774.0,0.506,0.461,0.529,0.5329999999999999,0.40399999999999997,0.354,0.5429999999999999,0.532,0.758,0.775,0.575,0.5660000000000001,0.253,0.248,0.18600000000000003,0.39899999999999997,110.0,99.0,114.0,102.0,98.0,102.0,102.0,47.0,11.9,10.5,Bruce Brown
2022-23,26.0,DEN,NBA,SF,80.0,2280.0,0.483,0.475,0.5479999999999999,0.5479999999999999,0.358,0.361,0.545,0.545,0.758,0.782,0.5710000000000001,0.581,0.20600000000000002,0.266,0.34299999999999997,0.387,102.0,100.0,99.0,100.0,97.0,98.0,77.0,88.0,-1.1,-16.7,Bruce Brown
2013-14,22.0,LAC,NBA,SF,43.0,395.0,0.355,0.45399999999999996,0.43799999999999994,0.488,0.301,0.36,0.446,0.501,0.778,0.7559999999999999,0.46,0.541,0.07400000000000001,0.284,0.603,0.259,78.0,90.0,84.0,89.0,103.0,85.0,26.0,233.0,-13.3,-20.2,Reggie Bullock
2014-15,23.0,TOT,NBA,SF,36.0,338.0,0.34299999999999997,0.449,0.375,0.485,0.326,0.35,0.45,0.496,0.667,0.75,0.466,0.534,0.129,0.273,0.657,0.268,76.0,77.0,93.0,91.0,89.0,87.0,47.0,245.0,-6.4,-10.0,Reggie Bullock
2014-15,23.0,LAC,NBA,SF,25.0,263.0,0.426,0.449,0.5329999999999999,0.485,0.385,0.35,0.565,0.496,0.8,0.75,0.578,0.534,0.09300000000000001,0.273,0.722,0.268,95.0,110.0,110.0,114.0,107.0,108.0,34.0,269.0,7.4,5.0,Reggie Bullock
2014-15,23.0,PHO,NBA,SF,11.0,75.0,0.063,0.449,0.111,0.485,0.0,0.35,0.063,0.496,0.5,0.75,0.113,0.534,0.25,0.273,0.43799999999999994,0.268,14.0,23.0,0.0,13.0,67.0,21.0,91.0,163.0,-13.9,-15.0,Reggie Bullock
2015-16,24.0,DET,NBA,SF,37.0,429.0,0.439,0.452,0.467,0.491,0.415,0.354,0.551,0.502,0.9329999999999999,0.757,0.583,0.541,0.153,0.276,0.541,0.285,97.0,95.0,117.0,110.0,123.0,108.0,55.0,190.0,9.5,8.8,Reggie Bullock
2016-17,25.0,DET,NBA,SF,31.0,467.0,0.42200000000000004,0.457,0.473,0.503,0.384,0.358,0.531,0.514,0.7140000000000001,0.772,0.5379999999999999,0.552,0.055,0.271,0.57,0.316,92.0,94.0,107.0,103.0,93.0,97.0,20.0,180.0,4.5,-3.8,Reggie Bullock
2017-18,26.0,DET,NBA,SF,62.0,1732.0,0.489,0.46,0.536,0.51,0.445,0.36200000000000004,0.603,0.521,0.7959999999999999,0.767,0.615,0.556,0.09,0.252,0.515,0.337,106.0,105.0,123.0,116.0,104.0,111.0,36.0,153.0,89.9,66.7,Reggie Bullock
2018-19,27.0,TOT,NBA,SG,63.0,1879.0,0.41200000000000003,0.461,0.483,0.52,0.377,0.355,0.537,0.524,0.8590000000000001,0.7659999999999999,0.563,0.56,0.14300000000000002,0.259,0.662,0.359,90.0,93.0,106.0,102.0,112.0,101.0,55.0,184.0,15.3,4.3,Reggie Bullock
2018-19,27.0,DET,NBA,SG,44.0,1355.0,0.413,0.461,0.46299999999999997,0.52,0.38799999999999996,0.355,0.542,0.524,0.875,0.7659999999999999,0.569,0.56,0.145,0.259,0.667,0.359,90.0,89.0,109.0,103.0,114.0,102.0,56.0,186.0,15.7,8.9,Reggie Bullock
2018-19,27.0,LAL,NBA,SG,19.0,524.0,0.41200000000000003,0.461,0.537,0.52,0.34299999999999997,0.355,0.523,0.524,0.81,0.7659999999999999,0.545,0.56,0.13699999999999998,0.259,0.647,0.359,89.0,103.0,97.0,100.0,106.0,97.0,53.0,180.0,-0.4,-4.6,Reggie Bullock
2019-20,28.0,NYK,NBA,SG,29.0,684.0,0.402,0.46,0.469,0.524,0.33299999999999996,0.358,0.484,0.529,0.81,0.773,0.502,0.565,0.094,0.26,0.496,0.384,87.0,90.0,93.0,92.0,105.0,89.0,36.0,129.0,-19.9,-29.4,Reggie Bullock
2020-21,29.0,NYK,NBA,SF,65.0,1949.0,0.442,0.466,0.521,0.53,0.41,0.36700000000000005,0.5870000000000001,0.5379999999999999,0.909,0.778,0.606,0.5720000000000001,0.098,0.247,0.7090000000000001,0.392,95.0,98.0,112.0,109.0,117.0,106.0,40.0,181.0,55.5,39.8,Reggie Bullock
2021-22,30.0,DAL,NBA,SF,68.0,1902.0,0.401,0.461,0.55,0.5329999999999999,0.36,0.354,0.542,0.532,0.833,0.775,0.5579999999999999,0.5660000000000001,0.096,0.248,0.782,0.39899999999999997,87.0,103.0,102.0,102.0,108.0,99.0,39.0,196.0,10.2,-8.0,Reggie Bullock
2022-23,31.0,DAL,NBA,SF,78.0,2364.0,0.409,0.475,0.562,0.5479999999999999,0.38,0.361,0.569,0.545,0.703,0.782,0.5770000000000001,0.581,0.079,0.266,0.845,0.387,86.0,103.0,105.0,104.0,90.0,99.0,30.0,218.0,22.5,-4.3,Reggie Bullock
2005-06,24.0,TOR,NBA,SG,64.0,1487.0,0.423,0.45399999999999996,0.465,0.478,0.163,0.358,0.434,0.49,0.848,0.745,0.495,0.536,0.295,0.33299999999999996,0.138,0.20199999999999999,93.0,97.0,45.0,89.0,114.0,92.0,89.0,68.0,-34.7,-28.6,José Calderón
2006-07,25.0,TOR,NBA,PG,77.0,1614.0,0.521,0.45799999999999996,0.5529999999999999,0.485,0.33299999999999996,0.358,0.546,0.496,0.818,0.752,0.588,0.541,0.28300000000000003,0.327,0.149,0.213,114.0,114.0,93.0,110.0,109.0,109.0,87.0,70.0,49.7,53.0,José Calderón
2007-08,26.0,TOR,NBA,PG,82.0,2484.0,0.519,0.457,0.551,0.484,0.429,0.36200000000000004,0.575,0.49700000000000005,0.9079999999999999,0.755,0.607,0.54,0.17,0.306,0.26,0.222,114.0,114.0,119.0,116.0,120.0,112.0,55.0,117.0,109.7,101.0,José Calderón
2008-09,27.0,TOR,NBA,PG,68.0,2333.0,0.49700000000000005,0.45899999999999996,0.5379999999999999,0.485,0.406,0.36700000000000005,0.561,0.5,0.981,0.7709999999999999,0.613,0.544,0.239,0.306,0.314,0.22399999999999998,108.0,111.0,111.0,112.0,127.0,113.0,78.0,140.0,78.3,98.1,José Calderón
2009-10,28.0,TOR,NBA,PG,68.0,1817.0,0.48200000000000004,0.461,0.519,0.49200000000000005,0.39799999999999996,0.355,0.542,0.501,0.7979999999999999,0.759,0.569,0.5429999999999999,0.183,0.3,0.301,0.222,105.0,105.0,112.0,108.0,105.0,105.0,61.0,136.0,47.2,32.5,José Calderón
2010-11,29.0,TOR,NBA,PG,68.0,2102.0,0.44,0.45899999999999996,0.466,0.48700000000000004,0.365,0.358,0.48700000000000004,0.498,0.8540000000000001,0.763,0.522,0.541,0.17300000000000001,0.3,0.262,0.222,96.0,96.0,102.0,98.0,112.0,96.0,58.0,118.0,-13.0,-25.4,José Calderón
2011-12,30.0,TOR,NBA,PG,53.0,1799.0,0.457,0.44799999999999995,0.5,0.47700000000000004,0.371,0.349,0.519,0.48700000000000004,0.882,0.752,0.547,0.527,0.14300000000000002,0.276,0.33299999999999996,0.226,102.0,105.0,106.0,106.0,117.0,104.0,52.0,148.0,30.1,20.6,José Calderón
2012-13,31.0,TOT,NBA,PG,73.0,2160.0,0.491,0.45299999999999996,0.516,0.483,0.461,0.359,0.594,0.496,0.9,0.753,0.616,0.535,0.126,0.27,0.444,0.243,109.0,107.0,128.0,120.0,120.0,115.0,47.0,182.0,123.5,109.4,José Calderón
2012-13,31.0,TOR,NBA,PG,45.0,1273.0,0.47,0.45299999999999996,0.505,0.483,0.429,0.359,0.569,0.496,0.904,0.753,0.594,0.535,0.131,0.27,0.462,0.243,104.0,104.0,120.0,115.0,120.0,111.0,48.0,190.0,57.8,50.0,José Calderón
2012-13,31.0,DET,NBA,PG,28.0,887.0,0.527,0.45299999999999996,0.532,0.483,0.52,0.359,0.635,0.496,0.893,0.753,0.654,0.535,0.11800000000000001,0.27,0.414,0.243,116.0,110.0,145.0,128.0,119.0,122.0,44.0,170.0,65.7,59.4,José Calderón
2013-14,32.0,DAL,NBA,PG,81.0,2468.0,0.456,0.45399999999999996,0.46399999999999997,0.488,0.449,0.36,0.584,0.501,0.825,0.7559999999999999,0.596,0.541,0.084,0.284,0.568,0.259,100.0,95.0,125.0,116.0,109.0,110.0,30.0,219.0,123.4,85.9,José Calderón
2014-15,33.0,NYK,NBA,PG,42.0,1270.0,0.415,0.449,0.415,0.485,0.415,0.35,0.499,0.496,0.9059999999999999,0.75,0.519,0.534,0.09,0.273,0.401,0.268,92.0,86.0,119.0,101.0,121.0,97.0,33.0,150.0,1.9,-11.2,José Calderón
2015-16,34.0,NYK,NBA,PG,72.0,2024.0,0.45899999999999996,0.452,0.496,0.491,0.414,0.354,0.552,0.502,0.875,0.757,0.5710000000000001,0.541,0.105,0.276,0.446,0.285,102.0,101.0,117.0,110.0,116.0,106.0,38.0,157.0,44.7,28.6,José Calderón
2016-17,35.0,TOT,NBA,PG,41.0,539.0,0.41,0.457,0.5,0.503,0.313,0.358,0.485,0.514,0.917,0.772,0.506,0.552,0.09,0.271,0.478,0.316,90.0,99.0,87.0,94.0,119.0,92.0,33.0,151.0,-7.7,-12.9,José Calderón
2016-17,35.0,LAL,NBA,PG,24.0,292.0,0.41600000000000004,0.457,0.465,0.503,0.353,0.358,0.494,0.514,1.0,0.772,0.508,0.552,0.052000000000000005,0.271,0.442,0.316,91.0,92.0,99.0,96.0,130.0,92.0,19.0,140.0,-3.1,-7.0,José Calderón
2016-17,35.0,ATL,NBA,PG,17.0,247.0,0.40399999999999997,0.457,0.556,0.503,0.267,0.358,0.474,0.514,0.875,0.772,0.504,0.552,0.14,0.271,0.526,0.316,88.0,110.0,75.0,92.0,113.0,91.0,52.0,166.0,-4.6,-5.9,José Calderón
2017-18,36.0,CLE,NBA,PG,57.0,914.0,0.503,0.46,0.545,0.51,0.46399999999999997,0.36200000000000004,0.624,0.521,0.8,0.767,0.643,0.556,0.162,0.252,0.524,0.337,109.0,107.0,128.0,120.0,104.0,116.0,64.0,156.0,38.2,34.5,José Calderón
2018-19,37.0,DET,NBA,PG,49.0,632.0,0.375,0.461,0.49200000000000005,0.52,0.24600000000000002,0.355,0.433,0.524,0.818,0.7659999999999999,0.45299999999999996,0.56,0.092,0.259,0.475,0.359,81.0,95.0,69.0,83.0,107.0,81.0,35.0,132.0,-21.8,-26.7,José Calderón
2012-13,19.0,DET,NBA,C,60.0,1243.0,0.608,0.45299999999999996,0.609,0.483,0.5,0.359,0.61,0.496,0.371,0.753,0.578,0.535,0.465,0.27,0.006,0.243,134.0,126.0,139.0,123.0,49.0,108.0,172.0,2.0,77.4,35.5,Andre Drummond
2013-14,20.0,DET,NBA,C,81.0,2619.0,0.623,0.45399999999999996,0.625,0.488,0.0,0.36,0.623,0.501,0.418,0.7559999999999999,0.599,0.541,0.42700000000000005,0.284,0.003,0.259,137.0,128.0,0.0,124.0,55.0,111.0,150.0,1.0,187.3,107.0,Andre Drummond
2014-15,21.0,DET,NBA,C,82.0,2502.0,0.514,0.449,0.515,0.485,0.0,0.35,0.514,0.496,0.389,0.75,0.504,0.534,0.38,0.273,0.002,0.268,115.0,106.0,0.0,104.0,52.0,94.0,139.0,1.0,34.9,-68.2,Andre Drummond
2015-16,22.0,DET,NBA,C,81.0,2666.0,0.521,0.452,0.522,0.491,0.33299999999999996,0.354,0.522,0.502,0.355,0.757,0.499,0.541,0.5529999999999999,0.276,0.006,0.285,115.0,106.0,94.0,104.0,47.0,92.0,200.0,2.0,40.7,-112.5,Andre Drummond
2016-17,23.0,DET,NBA,C,81.0,2409.0,0.53,0.457,0.532,0.503,0.28600000000000003,0.358,0.531,0.514,0.386,0.772,0.518,0.552,0.39,0.271,0.008,0.316,116.0,106.0,80.0,103.0,50.0,94.0,144.0,2.0,32.0,-74.0,Andre Drummond
